url,image,prep_time,difficulty
https://themeatmen.sg/slow-roasted-lamb-char-siew/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC06957-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/eurasian-devil-curry/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC08189-scaled.jpg,['20 mins'],easy
https://themeatmen.sg/eurasian-beef-smore/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC08221-scaled.jpg,['30 mins'],easy
https://themeatmen.sg/coffee-prime-rib-steak/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC06537-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/jeh-o-chula-tom-yum-mama-noodles/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC05483-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/air-fryer-thai-style-crispy-pork-belly-with-dipping-sauce/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC05440-scaled.jpg,,easy
https://themeatmen.sg/easy-butter-chicken/,https://themeatmen.sg/wp-content/uploads/2022/11/DSC01901-scaled.jpg,['45 min'],easy
https://themeatmen.sg/air-fryer-tau-kwa-pau/,https://themeatmen.sg/wp-content/uploads/2022/10/DSC04479-scaled.jpg,,easy
https://themeatmen.sg/crab-and-scallop-with-birds-nest-soup/,https://themeatmen.sg/wp-content/uploads/2022/10/DSC06171-scaled.jpg,['1 hr 30 min'],easy
https://themeatmen.sg/homemade-mee-bakso/,https://themeatmen.sg/wp-content/uploads/2022/10/DSC09100.jpg,,easy
https://themeatmen.sg/one-pot-hokkien-mustard-rice/,https://themeatmen.sg/wp-content/uploads/2022/10/DSC02083-scaled.jpg,['30 minutes'],easy
https://themeatmen.sg/prawn-vadai/,https://themeatmen.sg/wp-content/uploads/2022/09/DSC02595-1-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/japanese-inspired-bak-chor-mee-ramen/,https://themeatmen.sg/wp-content/uploads/2022/09/DSC03790-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/kway-chap/,https://themeatmen.sg/wp-content/uploads/2022/09/DSC02304-scaled.jpg,['5 hours'],easy
https://themeatmen.sg/osmanthus-lychee-jelly-cheesecake/,https://themeatmen.sg/wp-content/uploads/2022/09/DSC04023-scaled.jpg,['2 hours'],easy
https://themeatmen.sg/air-fryer-tandoori-chicken/,https://themeatmen.sg/wp-content/uploads/2022/08/DSC02561-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/rice-cooker-chicken-biryani/,https://themeatmen.sg/wp-content/uploads/2022/08/DSC01679-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/thai-crab-omelette/,https://themeatmen.sg/wp-content/uploads/2022/08/DSC02307-scaled.jpg,['15 minutes'],easy
https://themeatmen.sg/chicken-pao-fan/,https://themeatmen.sg/wp-content/uploads/2022/08/DSC02336-scaled.jpg,['3 hours'],easy
https://themeatmen.sg/birds-nest-mooncakes/,https://themeatmen.sg/wp-content/uploads/2022/08/photo_2022-08-02-12.27.48.jpeg,,easy
https://themeatmen.sg/ipoh-shredded-chicken-hor-fun/,https://themeatmen.sg/wp-content/uploads/2022/07/DSC01087-scaled.jpg,['1 hour'],easy
https://themeatmen.sg/thai-claypot-prawn-vermicelli/,https://themeatmen.sg/wp-content/uploads/2022/07/DSC01844-scaled.jpg,['45 mins'],easy
https://themeatmen.sg/homemade-bbq-sambal-stingray/,https://themeatmen.sg/wp-content/uploads/2022/07/Thumbnail-1-scaled.jpg,['30 mins'],easy
https://themeatmen.sg/ji-gong-bao-chicken-hot-pot/,https://themeatmen.sg/wp-content/uploads/2022/07/THUMBNAIL-2.jpg,['1 hour'],easy
https://themeatmen.sg/indonesian-nasi-goreng/,https://themeatmen.sg/wp-content/uploads/2022/06/DSC01653-scaled.jpg,['15'],super easy
https://themeatmen.sg/tom-yum-goong/,https://themeatmen.sg/wp-content/uploads/2022/06/DSC09162.jpg,,easy
